,L3_cache_read_miss,L3_cache_write_miss,L3_cache_total_miss,cycs_core_0,insts_core_0,MPKI,IPC
libquantum,5294386.0,0.0,5294386.0,215546218.0,200000000.0,26.47193,0.9278752457628369
leslie3d,9274100.0,1978.0,9276078.0,280481010.0,200000000.0,46.38039,0.7130607523126076
mcf,55397136.0,3367.0,55400503.0,607985482.0,200000000.0,277.002515,0.3289552233090987
wrf,13827.0,0.0,13827.0,51217002.0,200000000.0,0.069135,3.9049532809436993
dealII,19405.0,0.0,19405.0,51359671.0,200000000.0,0.097025,3.894105941605428
omnetpp,80075.0,0.0,80075.0,59249256.0,200000000.0,0.400375,3.375569813062294
GemsFDTD,3812188.0,16.0,3812204.0,359270749.0,200000000.0,19.06102,0.5566832272225981
sjeng,68606.0,3.0,68609.0,57052241.0,200000000.0,0.343045,3.505559054200868
bzip2,66210.0,0.0,66210.0,56244844.0,200000000.0,0.33105,3.555881495555397
milc,3155677.0,1.0,3155678.0,290300598.0,200000000.0,15.77839,0.6889410541276253
gromacs,99915.0,0.0,99915.0,58265148.0,200000000.0,0.499575,3.432583746290321
h264ref,35036.0,0.0,35036.0,53771791.0,200000000.0,0.17518,3.719422326847919
hmmer,33291.0,0.0,33291.0,56511468.0,200000000.0,0.166455,3.5391046645611826
astar,1029828.0,0.0,1029828.0,161273921.0,200000000.0,5.14914,1.2401261081759152
sphinx3,498192.0,29.0,498221.0,92713305.0,200000000.0,2.491105,2.1571876873551212
namd,17682.0,0.0,17682.0,50827121.0,200000000.0,0.08841,3.934907113861515
soplex,1506619.0,0.0,1506619.0,167056415.0,200000000.0,7.533095,1.1972003589326397
cactusADM,9760433.0,3028986.0,12789419.0,147537385.0,200000000.0,63.947095,1.3555886191150806
zeusmp,4430121.0,45009.0,4475130.0,523962515.0,200000000.0,22.37565,0.3817066951821926
lbm,5937027.0,3.0,5937030.0,219075615.0,200000000.0,29.68515,0.9129267992697407
xalancbmk,1700898.0,0.0,1700898.0,67683936.0,200000000.0,8.50449,2.9549108964348645
gcc,42388.0,0.0,42388.0,52554609.0,200000000.0,0.21194,3.805565369157251
gobmk,66942.0,0.0,66942.0,56024307.0,200000000.0,0.33471,3.5698790526761894
